Timestamp,CPU Usage,RAM Usage,GPU Utilization,GPU Memory Utilization,GPU Temperature,VRAM Usage,GPU Power,GPU Clock,GPU Memory Clock
2026-09-23 22:54:29,25.58,56.38,0.00,0.00,50,3.27,8.88,1500,5871
2026-09-23 22:54:31,16.94,56.44,0.00,0.00,50,3.27,8.96,1500,5871
2026-09-23 22:54:33,17.45,56.47,0.00,0.00,50,3.27,8.77,1500,5871
2026-09-23 22:54:34,19.52,56.57,0.00,0.00,50,3.27,9.50,1500,5871
2026-09-23 22:54:36,15.68,56.70,0.00,0.00,50,3.27,9.50,1500,5871
2026-09-23 22:54:38,8.86,56.63,0.00,0.00,50,3.27,9.04,1500,5871
2026-09-23 22:54:39,10.90,56.75,0.00,0.00,50,3.27,9.55,1500,5871
2026-09-23 22:54:41,12.82,56.42,0.00,0.00,50,3.27,8.62,1500,5871
2026-09-23 22:54:43,15.97,56.22,0.00,0.00,50,3.27,9.75,1500,5871
2026-09-23 22:54:45,13.94,56.35,0.00,0.00,50,3.27,8.85,1500,5871
2026-09-23 22:54:47,19.25,56.35,0.00,0.00,50,3.27,8.95,1500,5871
2026-09-23 22:54:49,18.03,56.32,0.00,0.00,50,3.27,8.98,1500,5871
2026-09-23 22:54:50,22.20,55.94,0.00,0.00,50,3.27,8.94,1500,5871
2026-09-23 22:54:52,12.04,55.96,0.00,0.00,50,3.27,9.07,1500,5871
2026-09-23 22:54:54,12.70,56.04,0.00,0.00,50,3.27,9.34,1500,5871
2026-09-23 22:54:55,18.25,55.98,0.00,0.00,50,3.27,9.24,1500,5871
2026-09-23 22:54:57,14.39,56.01,0.00,0.00,50,3.27,9.17,1500,5871
2026-09-23 22:54:59,10.78,55.96,0.00,0.00,50,3.27,8.97,1500,5871
2026-09-23 22:55:01,17.53,55.58,0.00,0.00,50,3.27,8.86,1500,5871
2026-09-23 22:55:03,12.03,55.60,0.00,0.00,50,3.27,8.94,1500,5871
2026-09-23 22:55:05,12.31,55.61,0.00,0.00,50,3.27,8.60,1500,5871
2026-09-23 22:55:06,14.09,55.69,0.00,0.00,50,3.27,8.93,1500,5871
2026-09-23 22:55:08,14.02,55.69,0.00,0.00,50,3.27,9.32,1500,5871
2026-09-23 22:55:10,15.01,55.63,0.00,0.00,50,3.27,9.45,1500,5871
2026-09-23 22:55:11,13.61,55.64,0.00,0.00,50,3.27,9.64,1500,5871
2026-09-23 22:55:13,16.95,55.60,0.00,0.00,50,3.27,8.87,1500,5871
2026-09-23 22:55:15,18.43,55.62,0.00,0.00,50,3.27,9.01,1500,5871
2026-09-23 22:55:17,14.86,55.63,0.00,0.00,50,3.27,9.45,1500,5871
2026-09-23 22:55:19,15.78,55.72,0.00,0.00,50,3.27,8.90,1500,5871
2026-09-23 22:55:21,16.14,55.68,0.00,0.00,50,3.27,4.79,1500,5871
2026-09-23 22:55:22,13.91,55.73,0.00,0.00,50,3.27,9.77,1500,5871
